T,min_window,nrep,seed,gsadf_q900,gsadf_q950,gsadf_q990
198,27,999,42,1.868539775913792,2.184922298923302,2.6591280923888863
274,25,999,42,2.077891637651854,2.350436278088417,2.821873611841117
274,32,99,42,1.652376321539772,1.8379630452107047,2.8028934485011447
274,32,999,42,1.8780308612465613,2.197005575087222,2.685078676916131
274,38,999,42,1.7808334224177436,2.0549483774960366,2.654639302038749
382,31,999,42,2.079580606299273,2.335814467200168,2.8016500505780844
382,39,99,42,1.7358495406556964,2.179244792742759,2.5067750540496743
382,39,999,42,1.882240587917358,2.2047043318540043,2.676760411210544
382,46,999,42,1.8096877712844124,2.107756540366688,2.646702621259305
477,44,999,42,1.9808089277798528,2.204561309464512,2.6664211652873178
526,46,999,42,2.0045737027784893,2.2988202699294047,2.7126473860886384
536,47,999,42,1.9934592136576832,2.298353332251618,2.702892095243156
714,55,999,42,2.099963080273548,2.335461312202119,2.854015177957816
876,62,999,42,2.1107981330916843,2.3544332607256173,2.721471078161938
1074,55,999,42,2.161373683589806,2.43393751963848,2.9393536158961937
1074,69,99,42,2.106477808320204,2.3368452640904014,2.527902805381504
1074,69,999,42,2.116261870613456,2.336052869731993,2.830868713193889
1074,82,999,42,2.071682647109916,2.2981587774342436,2.8020059709856655
1353,63,999,42,2.2584445537262057,2.4557744224648355,2.8071393851940245
1353,79,99,42,2.1125873128092776,2.2835657945814893,2.654845188923876
1353,79,999,42,2.139452766088243,2.3642515588364805,2.724957881973333
1353,94,999,42,2.095769181647095,2.314059606142871,2.7110674396712486
1402,64,999,42,2.262123361908901,2.444845595699209,2.80713938519404
1402,81,99,42,2.1002803282745903,2.1571146710870246,2.654845188923875
1402,81,999,42,2.134988459234429,2.3650174015902574,2.72495788197333
1402,97,999,42,2.089405965232732,2.3122594767209264,2.7110674396712464
1412,64,999,42,2.2621233619089014,2.4404298439492216,2.8308687131938908
1412,81,99,42,2.112587312809279,2.342876280572386,2.654845188923873
1412,81,999,42,2.134988459234438,2.3586442666524325,2.725537749716364
1412,97,999,42,2.0874416132019773,2.29815877743425,2.7185377211248545
1590,69,999,42,2.280085798485673,2.4604812321156406,2.928565040465952
1590,87,99,42,2.1276203398103246,2.470620792653293,2.654845188923876
1590,87,999,42,2.1441274441368416,2.394809355446024,2.8606983238834256
1590,104,999,42,2.099913863223594,2.336554361166386,2.840675335004442
1662,90,99,42,2.138921341046239,2.455057145032652,2.6548451889238747
1662,90,999,42,2.139522616076892,2.4066307988687945,2.860698323883444
1842,95,99,42,2.314151097365397,2.437796201686501,2.654845188923872
1842,95,999,42,2.138903366862315,2.389961828908242,2.860202222857005
2014,100,99,42,2.3532212429794623,2.5265143962680154,2.68131502591181
2014,100,999,42,2.1730180380455324,2.414449200277717,2.860202222856985
2266,108,99,42,2.3546182343773894,2.537821418898073,2.722314193350498
2266,108,999,42,2.162400580787647,2.4000725234308087,2.860599925282349
2556,116,999,42,2.218251748015218,2.414449200277716,2.831002029299409
3531,142,99,42,2.356995736506489,2.516811313216542,2.7223141933504964
3531,142,999,42,2.25828293742842,2.4676994733403017,2.908629215308052
